C105

VEHICLE
NUMBER
25

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	STAFF0	STAFF1	READY TIME	DUE DATE	SERVICE TIME
0	40	50	0	0	0	0	1236	0
1	45	68	1	1	0	885	994	90
2	45	70	2	2	0	802	893	90
3	42	66	1	1	0	25	186	90
4	42	68	1	1	0	699	810	90
5	42	65	1	1	0	15	120	90
6	40	69	1	1	0	580	743	90
7	40	66	1	1	0	142	253	90
8	38	68	1	1	0	220	359	90
9	38	70	1	1	0	499	640	90
10	35	66	3	3	0	331	436	90
11	35	69	1	1	0	420	533	90
12	25	85	2	1	1	617	756	90
13	22	75	1	1	0	30	155	90
14	22	85	3	1	0	541	646	90
15	20	80	2	2	0	362	451	90
16	20	85	3	2	1	448	555	90
17	18	75	2	1	0	75	172	90
18	15	75	3	2	0	142	291	90
19	15	80	3	1	1	244	379	90
20	30	50	1	1	0	10	137	90
21	30	52	1	1	0	888	991	90
22	28	52	3	1	0	776	919	90
23	28	55	2	1	0	709	800	90
24	25	50	2	1	0	25	184	90
25	25	52	3	3	0	142	251	90
26	25	55	3	2	0	582	741	90
27	23	52	2	1	1	234	343	90
28	23	55	1	1	0	523	616	90
29	20	50	3	2	1	335	428	90
30	20	55	1	1	0	422	531	90
31	10	35	2	2	0	181	256	90
32	10	40	1	1	0	31	170	90
33	8	40	3	1	0	52	193	90
34	8	45	2	2	0	719	848	90
35	5	35	1	1	0	252	375	90
36	5	45	3	1	1	639	742	90
37	2	40	1	1	0	357	460	90
38	0	40	3	1	1	457	544	90
39	0	45	2	1	0	538	653	90
40	35	30	3	2	0	236	349	90
41	35	32	1	1	0	132	269	90
42	33	32	2	1	0	27	190	90
43	33	35	3	2	1	16	144	90
44	32	30	1	1	0	332	439	90
45	30	30	3	1	0	512	629	90
46	30	32	3	1	0	417	540	90
47	30	35	1	1	0	982	1127	90
48	28	30	2	1	0	601	724	90
49	28	35	3	2	1	969	1098	90
50	26	32	3	3	0	783	912	90
51	25	30	3	1	1	695	816	90
52	25	35	2	1	0	883	998	90
53	44	5	2	1	0	255	378	90
54	42	10	1	1	0	150	293	90
55	42	15	2	1	1	63	190	90
56	40	5	1	1	0	359	462	90
57	40	15	2	1	1	35	140	90
58	38	5	1	1	0	439	566	90
59	38	15	1	1	0	607	784	90
60	35	5	2	1	1	529	662	90
61	50	30	1	1	0	491	650	90
62	50	35	2	2	0	235	344	90
63	50	40	3	1	1	147	242	90
64	48	30	3	2	1	601	724	90
65	48	40	3	2	1	50	155	90
66	47	35	2	1	1	802	899	90
67	47	40	3	2	0	12	143	90
68	45	30	1	1	0	712	799	90
69	45	35	1	1	0	889	996	90
70	95	30	2	1	0	353	490	90
71	95	35	3	1	0	260	393	90
72	53	30	1	1	0	422	533	90
73	92	30	3	1	1	442	587	90
74	53	35	3	1	1	323	442	90
75	45	65	3	1	0	962	1103	90
76	90	35	3	1	0	175	288	90
77	88	30	2	1	1	539	678	90
78	88	35	3	2	0	78	201	90
79	87	30	3	1	1	636	763	90
80	85	25	2	2	0	744	845	90
81	85	35	1	1	0	47	201	90
82	75	55	2	1	0	344	445	90
83	72	55	2	2	0	228	375	90
84	70	58	1	1	0	425	556	90
85	68	60	3	1	0	527	640	90
86	66	55	1	1	0	141	270	90
87	65	55	1	1	0	56	173	90
88	65	60	3	1	0	614	739	90
89	63	58	2	1	1	705	834	90
90	60	55	3	2	0	20	148	90
91	60	60	1	1	0	809	916	90
92	67	85	2	1	1	331	478	90
93	65	85	1	1	0	453	540	90
94	65	82	2	2	0	260	361	90
95	62	80	3	1	1	174	261	90
96	60	80	3	2	0	64	187	90
97	60	85	3	1	1	531	652	90
98	58	75	2	1	0	30	139	90
99	55	80	3	1	0	705	858	90
100	55	85	1	1	0	608	765	90
