R206

VEHICLE
NUMBER
25

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	STAFF0	STAFF1	READY TIME	DUE DATE	SERVICE TIME
0	35	35	0	0	0	0	1000	0
1	41	49	1	1	0	0	974	10
2	35	17	2	2	0	0	972	10
3	55	45	1	1	0	0	967	10
4	55	20	1	1	0	620	860	10
5	15	30	1	1	0	0	969	10
6	25	30	1	1	0	345	585	10
7	20	50	1	1	0	0	968	10
8	10	43	1	1	0	323	563	10
9	55	60	1	1	0	329	569	10
10	30	60	3	3	0	485	725	10
11	20	65	1	1	0	146	386	10
12	50	35	2	1	1	0	975	10
13	30	25	1	1	0	639	879	10
14	15	10	3	1	0	32	272	10
15	30	5	2	2	0	118	358	10
16	10	20	3	2	1	203	443	10
17	5	30	2	1	0	682	922	10
18	20	40	3	2	0	286	526	10
19	15	60	3	1	1	204	444	10
20	45	65	1	1	0	504	744	10
21	45	20	1	1	0	0	971	10
22	45	10	3	1	0	332	572	10
23	55	5	2	1	0	146	386	10
24	65	35	2	1	0	656	896	10
25	65	20	3	3	0	716	956	10
26	45	30	3	2	0	0	978	10
27	35	40	2	1	1	60	300	10
28	41	37	1	1	0	65	305	10
29	64	42	3	2	1	132	372	10
30	40	60	1	1	0	187	427	10
31	31	52	2	2	0	0	972	10
32	35	69	1	1	0	599	839	10
33	53	52	3	1	0	24	264	10
34	65	55	2	2	0	0	953	10
35	63	65	1	1	0	630	870	10
36	2	60	3	1	1	41	281	10
37	20	20	1	1	0	0	968	10
38	5	5	3	1	1	234	474	10
39	60	12	2	1	0	33	273	10
40	40	25	3	2	0	279	519	10
41	42	7	1	1	0	334	574	10
42	24	12	2	1	0	25	265	10
43	23	3	3	2	1	543	783	10
44	11	14	1	1	0	167	407	10
45	6	38	3	1	0	29	269	10
46	2	48	3	1	0	452	692	10
47	8	56	1	1	0	48	288	10
48	13	52	2	1	0	0	962	10
49	6	68	3	2	1	401	641	10
50	47	47	3	3	0	0	973	10
51	49	58	3	1	1	281	521	10
52	27	43	2	1	0	0	978	10
53	37	31	2	1	0	332	572	10
54	57	29	1	1	0	568	808	10
55	63	23	2	1	1	560	800	10
56	53	12	1	1	0	519	759	10
57	32	12	2	1	1	356	596	10
58	36	26	1	1	0	740	980	10
59	21	24	1	1	0	0	972	10
60	17	34	2	1	1	672	912	10
61	12	24	1	1	0	214	454	10
62	24	58	2	2	0	113	353	10
63	27	69	3	1	1	34	274	10
64	15	77	3	2	1	154	394	10
65	62	77	3	2	1	49	289	10
66	49	73	2	1	1	523	763	10
67	67	5	3	2	0	228	468	10
68	56	39	1	1	0	575	815	10
69	37	47	1	1	0	108	348	10
70	37	56	2	1	0	728	968	10
71	57	68	3	1	0	198	438	10
72	47	16	1	1	0	0	967	10
73	44	17	3	1	1	234	474	10
74	46	13	3	1	1	622	862	10
75	49	11	3	1	0	0	962	10
76	49	42	3	1	0	212	452	10
77	53	43	2	1	1	730	970	10
78	61	52	3	2	0	322	562	10
79	57	48	3	1	1	307	547	10
80	56	37	2	2	0	728	968	10
81	55	54	1	1	0	314	554	10
82	15	47	2	1	0	0	966	10
83	14	37	2	2	0	0	968	10
84	11	31	1	1	0	354	594	10
85	16	22	3	1	0	0	966	10
86	4	18	1	1	0	307	547	10
87	28	18	1	1	0	314	554	10
88	26	52	3	1	0	214	454	10
89	26	35	2	1	1	718	958	10
90	31	67	3	2	0	320	560	10
91	15	19	1	1	0	0	964	10
92	22	22	2	1	1	18	258	10
93	18	24	1	1	0	729	969	10
94	26	27	2	2	0	0	977	10
95	25	24	3	1	1	0	975	10
96	22	27	3	2	0	0	974	10
97	25	21	3	1	1	523	763	10
98	19	21	2	1	0	0	968	10
99	20	26	3	1	0	263	503	10
100	18	18	1	1	0	725	965	10
