RC107

VEHICLE
NUMBER
25

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	STAFF0	STAFF1	READY TIME	DUE DATE	SERVICE TIME
0	40	50	0	0	0	0	240	0
1	25	85	1	1	0	125	191	10
2	22	75	2	2	0	32	97	10
3	22	85	1	1	0	101	146	10
4	20	80	1	1	0	71	193	10
5	20	85	1	1	0	40	113	10
6	18	75	1	1	0	55	164	10
7	15	75	1	1	0	69	118	10
8	15	80	1	1	0	56	155	10
9	10	35	1	1	0	51	160	10
10	10	40	3	3	0	90	177	10
11	8	40	1	1	0	33	152	10
12	8	45	2	1	1	49	108	10
13	5	35	1	1	0	62	191	10
14	5	45	3	1	0	35	117	10
15	2	40	2	2	0	39	161	10
16	0	40	3	2	1	59	114	10
17	0	45	2	1	0	60	189	10
18	44	5	3	2	0	79	124	10
19	42	10	3	1	1	58	115	10
20	42	15	1	1	0	111	162	10
21	40	5	1	1	0	52	111	10
22	40	15	3	1	0	55	158	10
23	38	5	2	1	0	45	164	10
24	38	15	2	1	0	128	194	10
25	35	5	3	3	0	54	184	10
26	95	30	3	2	0	105	154	10
27	95	35	2	1	1	57	172	10
28	92	30	1	1	0	55	120	10
29	90	35	3	2	1	52	112	10
30	88	30	1	1	0	52	159	10
31	88	35	2	2	0	50	110	10
32	87	30	1	1	0	116	175	10
33	85	25	3	1	0	51	178	10
34	85	35	2	2	0	100	151	10
35	67	85	1	1	0	61	185	10
36	65	85	3	1	1	43	186	10
37	65	82	1	1	0	113	164	10
38	62	80	3	1	1	37	148	10
39	60	80	2	1	0	36	191	10
40	60	85	3	2	0	50	149	10
41	58	75	1	1	0	48	165	10
42	55	80	2	1	0	33	166	10
43	55	85	3	2	1	117	168	10
44	55	82	1	1	0	35	148	10
45	20	82	3	1	0	37	177	10
46	18	80	3	1	0	98	157	10
47	2	45	1	1	0	38	109	10
48	42	5	2	1	0	120	184	10
49	42	12	3	2	1	79	158	10
50	72	35	3	3	0	104	157	10
51	55	20	3	1	1	69	126	10
52	25	30	2	1	0	36	97	10
53	20	50	2	1	0	57	154	10
54	55	60	1	1	0	127	180	10
55	30	60	2	1	1	95	214	10
56	50	35	1	1	0	88	201	10
57	30	25	2	1	1	82	139	10
58	15	10	1	1	0	56	182	10
59	10	20	1	1	0	42	125	10
60	15	60	2	1	1	137	202	10
61	45	65	1	1	0	55	106	10
62	65	35	2	2	0	29	158	10
63	65	20	3	1	1	39	108	10
64	45	30	3	2	1	20	139	10
65	35	40	3	2	1	11	140	10
66	41	37	2	1	1	92	203	10
67	64	42	3	2	0	28	141	10
68	40	60	1	1	0	100	217	10
69	31	52	1	1	0	9	134	10
70	35	69	2	1	0	60	210	10
71	65	55	3	1	0	52	107	10
72	63	65	1	1	0	27	101	10
73	2	60	3	1	1	65	118	10
74	20	20	3	1	1	72	193	10
75	5	5	3	1	0	60	117	10
76	60	12	3	1	0	42	143	10
77	23	3	2	1	1	52	180	10
78	8	56	3	2	0	46	163	10
79	6	68	3	1	1	54	153	10
80	47	47	2	2	0	97	222	10
81	49	58	1	1	0	80	121	10
82	27	43	2	1	0	26	87	10
83	37	31	2	2	0	19	87	10
84	57	29	1	1	0	62	159	10
85	63	23	3	1	0	76	127	10
86	21	24	1	1	0	77	126	10
87	12	24	1	1	0	68	141	10
88	24	58	3	1	0	24	139	10
89	67	5	2	1	1	105	177	10
90	37	47	3	2	0	74	127	10
91	49	42	1	1	0	151	212	10
92	53	43	2	1	1	14	155	10
93	61	52	1	1	0	69	208	10
94	57	48	2	2	0	86	133	10
95	56	37	3	1	1	20	84	10
96	55	54	3	2	0	121	172	10
97	4	18	3	1	1	112	157	10
98	26	52	2	1	0	30	91	10
99	26	35	3	1	0	37	146	10
100	31	67	1	1	0	66	210	10
